exercise_id,exercise_name,body_part,equipment,primary_muscle,secondary_muscles,movement_pattern,tracking_supported,instructions,gif_url
107,barbell curl,upper arms,barbell,biceps,forearms,elbow_flexion,yes,"stand up straight with your feet shoulder-width apart and hold a barbell with an underhand grip, palms facing forward. keep your elbows close to your torso and exhale as you curl the weights while contracting your biceps. continue to raise the bar until your biceps are fully contracted and the bar is at shoulder level. hold the contracted position for a brief pause as you squeeze your biceps. inhale as you slowly begin to lower the bar back to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/ObboNJAEiU1WS8
108,barbell deadlift,upper legs,barbell,glutes,"hamstrings, lower back",knee_flexion,yes,"stand with your feet shoulder-width apart and the barbell on the ground in front of you. bend your knees and hinge at the hips to lower your torso and grip the barbell with an overhand grip, hands slightly wider than shoulder-width apart. keep your back straight and chest lifted as you drive through your heels to lift the barbell off the ground, extending your hips and knees. as you stand up straight, squeeze your glutes and keep your core engaged. lower the barbell back down to the ground by bending at the hips and knees, keeping your back straight. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/zoY2MmNL2IK4qP
109,barbell decline bench press,chest,barbell,pectorals,"triceps, shoulders",other,no,"lie on a decline bench with your feet secured and your head lower than your hips. grasp the barbell with an overhand grip slightly wider than shoulder-width apart. unrack the barbell and lower it slowly towards your chest, keeping your elbows tucked in. pause for a moment at the bottom, then push the barbell back up to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/PNJD51IJJX6j8D
110,barbell decline bent arm pullover,back,barbell,lats,"triceps, chest",other,no,"lie down on a decline bench with your head lower than your hips and your feet secured. hold a barbell with a pronated grip (palms facing away from you) and extend your arms straight above your chest. lower the barbell behind your head in a controlled manner, keeping your arms slightly bent. pause for a moment, then raise the barbell back to the starting position by contracting your lats. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/Wh8XtfYom9XOcF
111,barbell decline close grip to skull press,upper arms,barbell,triceps,"chest, shoulders",elbow_flexion,yes,"lie on a decline bench with your head lower than your feet and hold a barbell with a close grip. lower the barbell towards your forehead by bending your elbows, keeping your upper arms stationary. pause for a moment, then extend your arms to press the barbell back up to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/sHm0SzmuyadvKa
112,barbell decline pullover,chest,barbell,pectorals,"triceps, shoulders",other,no,"lie down on a decline bench with your head lower than your hips and your feet secured. hold the barbell with a pronated grip (palms facing away from you) and your hands slightly wider than shoulder-width apart. extend your arms above your chest, keeping a slight bend in your elbows. lower the barbell in an arc motion behind your head, feeling a stretch in your chest and shoulders. pause for a moment, then return the barbell to the starting position by reversing the motion. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/WReEyiUY7QeKEu
113,barbell decline wide-grip press,chest,barbell,pectorals,"triceps, shoulders",other,no,"lie on a decline bench with your feet secured and your head lower than your hips. grasp the barbell with a wide grip, slightly wider than shoulder-width apart. lower the barbell to your chest, keeping your elbows out to the sides. push the barbell back up to the starting position, fully extending your arms. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/-NXtFzKNyzCmBL
114,barbell decline wide-grip pullover,back,barbell,lats,"triceps, chest",other,no,"lie on a decline bench with your head lower than your hips and your feet secured. hold a barbell with a wide grip and extend your arms straight above your chest. lower the barbell behind your head in a controlled manner, keeping your arms straight. pause for a moment, then raise the barbell back to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/vq5SEVPv-8EfNE
115,barbell drag curl,upper arms,barbell,biceps,forearms,elbow_flexion,yes,"stand with your feet shoulder-width apart and hold a barbell with an underhand grip, palms facing up. let the barbell hang at arm's length in front of your thighs. keeping your upper arms stationary, curl the barbell up towards your chest by contracting your biceps. pause for a moment at the top, then slowly lower the barbell back down to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/bLCk-wzZ8YhyXD
116,barbell floor calf raise,lower legs,barbell,calves,hamstrings,other,no,"place a barbell on the floor in front of you. stand with the balls of your feet on the edge of the barbell, with your heels hanging off. hold onto a stable object for balance if needed. raise your heels as high as possible, using your calves to lift your body. pause for a moment at the top, then slowly lower your heels back down to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/Jck2RjRosIqYg5
117,barbell front chest squat,upper legs,barbell,glutes,"quadriceps, hamstrings, calves, core",knee_flexion,yes,"start by standing with your feet shoulder-width apart, toes slightly turned out. hold the barbell in front of your chest with your hands shoulder-width apart, elbows pointing forward. engage your core and keep your chest up as you lower your body down into a squat position, pushing your hips back and bending your knees. lower until your thighs are parallel to the ground, or as low as you can comfortably go. pause for a moment at the bottom, then push through your heels to return to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/n-1wAxxu8uBePV
118,barbell front raise,shoulders,barbell,delts,"biceps, triceps",other,no,"stand with your feet shoulder-width apart and hold a barbell in front of your thighs with an overhand grip. keep your arms straight and lift the barbell forward and upward until it reaches shoulder level. pause for a moment at the top, then slowly lower the barbell back down to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/UHiEFrsbeCmueI
119,barbell front raise and pullover,chest,barbell,pectorals,"deltoids, triceps",other,no,"stand with your feet shoulder-width apart and hold a barbell with an overhand grip, palms facing down. keep your arms straight and raise the barbell in front of you until it reaches shoulder height. pause for a moment at the top, then slowly lower the barbell back down to the starting position. next, lower the barbell behind your head, keeping your arms straight. pause for a moment at the bottom, then raise the barbell back up to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/C-vBZcN82wrXtP
120,barbell front squat,upper legs,barbell,glutes,"quadriceps, hamstrings, calves, core",knee_flexion,yes,"start by standing with your feet shoulder-width apart, toes slightly turned out. hold the barbell in front of your shoulders, resting it on your collarbone and shoulders. engage your core and keep your chest up as you lower your body down into a squat position, pushing your hips back and bending your knees. lower until your thighs are parallel to the ground, or as low as you can comfortably go. pause for a moment at the bottom, then push through your heels to return to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/wYAHVkvxYKuzwA
121,barbell full squat,upper legs,barbell,glutes,"quadriceps, hamstrings, calves, core",knee_flexion,yes,"stand with your feet shoulder-width apart, toes slightly turned out. hold the barbell across your upper back, resting it on your traps or rear delts. engage your core and keep your chest up as you begin to lower your body down. bend at the knees and hips, pushing your hips back and down as if sitting into a chair. lower yourself until your thighs are parallel to the ground or slightly below. keep your knees in line with your toes and your weight in your heels. drive through your heels to stand back up, extending your hips and knees. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/50tPNxJrxCBohN
122,barbell full squat (back pov),upper legs,barbell,glutes,"quadriceps, hamstrings, calves, core",knee_flexion,yes,"stand with your feet shoulder-width apart, toes slightly turned out. hold the barbell across your upper back, resting it on your traps or rear delts. engage your core and keep your chest up as you begin to lower your body down. bend at the knees and hips, pushing your hips back and down as if sitting into a chair. lower your body until your thighs are parallel to the ground or slightly below. keep your knees in line with your toes and your weight in your heels. drive through your heels to stand back up, extending your hips and knees. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/l4UVfDOFcezjOh
123,barbell full squat (side pov),upper legs,barbell,glutes,"quadriceps, hamstrings, calves, core",knee_flexion,yes,"stand with your feet shoulder-width apart, toes slightly turned out. hold the barbell across your upper back, resting it on your traps or rear delts. engage your core and keep your chest up as you begin to lower your body down. bend at the knees and hips, pushing your hips back and down as if sitting into a chair. lower your body until your thighs are parallel to the ground or slightly below. keep your knees in line with your toes and your weight in your heels. drive through your heels to stand back up, extending your hips and knees. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/b-dkcszdwg-tsM
124,barbell full zercher squat,upper legs,barbell,glutes,"quadriceps, hamstrings, calves, core",knee_flexion,yes,"stand with your feet shoulder-width apart and toes slightly turned out. hold the barbell in the crooks of your elbows, with your hands gripping the barbell for stability. engage your core and keep your chest lifted as you lower your hips back and down into a squat position. keep your knees in line with your toes and your weight in your heels. lower until your thighs are parallel to the ground, or as low as you can comfortably go. drive through your heels to stand back up, squeezing your glutes at the top of the movement. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/BqPDTLk8EutAfE
125,barbell glute bridge,upper legs,barbell,glutes,"hamstrings, lower back",knee_flexion,yes,"start by lying flat on your back on the ground with your knees bent and feet flat on the floor. place a barbell across your hips, holding it securely with both hands. engage your glutes and core muscles, then lift your hips off the ground until your body forms a straight line from your knees to your shoulders. pause for a moment at the top, squeezing your glutes. slowly lower your hips back down to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/h5ExSM7fzolTGv
126,barbell glute bridge two legs on bench (male),upper legs,barbell,glutes,"hamstrings, core",knee_flexion,yes,"start by sitting on the edge of a bench with your upper back resting against it and your feet flat on the ground, hip-width apart. place a barbell across your hips, holding it securely with both hands. engage your glutes and core muscles, then press through your heels to lift your hips off the bench, creating a straight line from your knees to your shoulders. pause for a moment at the top, squeezing your glutes. slowly lower your hips back down to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/bw792FUAiLF1HU
127,barbell good morning,upper legs,barbell,hamstrings,lower back,knee_flexion,yes,"start by standing with your feet shoulder-width apart and the barbell resting on your upper back. keeping your back straight and your core engaged, hinge forward at the hips, pushing your buttocks back as if you were trying to touch the wall behind you with your glutes. lower your torso until it is parallel to the ground, feeling a stretch in your hamstrings. pause for a moment, then return to the starting position by squeezing your glutes and pushing your hips forward. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/Fu5W2baD3osehL
128,barbell guillotine bench press,chest,barbell,pectorals,"shoulders, triceps",other,no,"lie flat on a bench with your feet flat on the ground and your back pressed against the bench. grasp the barbell with an overhand grip, slightly wider than shoulder-width apart. lower the barbell slowly towards your neck, keeping your elbows pointed outwards. pause for a moment when the barbell is just above your neck. push the barbell back up to the starting position, fully extending your arms. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/tZaNqKhurv4Rev
129,barbell hack squat,upper legs,barbell,glutes,"quadriceps, hamstrings, calves",knee_flexion,yes,"start by standing with your feet shoulder-width apart and your toes slightly turned out. hold the barbell behind your legs, resting it on your upper thighs. lower your body by bending at the knees and hips, keeping your back straight and your chest up. continue lowering until your thighs are parallel to the ground, or as low as you can comfortably go. pause for a moment, then push through your heels to return to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/X7nhpCB7YOE2Zt
130,barbell high bar squat,upper legs,barbell,glutes,"quadriceps, hamstrings, calves, core",knee_flexion,yes,"stand with your feet shoulder-width apart, toes slightly turned out. place the barbell on your upper back, resting it on your traps. engage your core and keep your chest up as you begin to squat down, pushing your hips back and bending your knees. lower yourself until your thighs are parallel to the ground, or as low as you can comfortably go. drive through your heels to stand back up, extending your hips and knees. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/jUXdQTQrRAwYKP
131,barbell incline bench press,chest,barbell,pectorals,"shoulders, triceps",other,no,"set up an incline bench at a 45-degree angle. lie down on the bench with your feet flat on the ground. grasp the barbell with an overhand grip, slightly wider than shoulder-width apart. unrack the barbell and lower it slowly towards your chest, keeping your elbows at a 45-degree angle. pause for a moment at the bottom, then push the barbell back up to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/w6eEQMZGhYJZLn
132,barbell incline close grip bench press,upper arms,barbell,triceps,"chest, shoulders",elbow_flexion,yes,"set up an incline bench at a 45-degree angle. lie down on the bench with your feet flat on the ground. grasp the barbell with a close grip, slightly narrower than shoulder-width apart. unrack the barbell and lower it slowly towards your chest, keeping your elbows close to your body. pause for a moment when the barbell touches your chest. push the barbell back up to the starting position, fully extending your arms. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/nXgtrgtThcj-0r
133,barbell incline reverse-grip press,upper arms,barbell,triceps,"chest, shoulders",elbow_flexion,yes,"set up an incline bench at a 45-degree angle. lie back on the bench and grasp the barbell with a reverse grip, hands slightly wider than shoulder-width apart. unrack the barbell and lower it towards your upper chest, keeping your elbows tucked in. pause for a moment at the bottom, then push the barbell back up to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/Ag6jJTVPPtdFEm
134,barbell incline row,back,barbell,upper back,"biceps, forearms",other,no,"set up an incline bench at a 45-degree angle. lie face down on the bench with your chest against the pad and your feet flat on the ground. grasp the barbell with an overhand grip, slightly wider than shoulder-width apart. keep your back straight and your core engaged. pull the barbell towards your chest, squeezing your shoulder blades together. pause for a moment at the top, then slowly lower the barbell back to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/-xV7Eu25OGa9N3
135,barbell incline shoulder raise,chest,barbell,serratus anterior,"deltoids, trapezius",other,no,"set up an incline bench at a 45-degree angle. sit on the bench with your back against the pad and feet flat on the ground. hold a barbell with an overhand grip, slightly wider than shoulder-width apart. lift the barbell up to shoulder height, keeping your elbows slightly bent. slowly raise the barbell overhead, extending your arms fully. pause for a moment at the top, then slowly lower the barbell back to shoulder height. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/kykch2rmvW6P7T
136,barbell jefferson squat,upper legs,barbell,glutes,"quadriceps, hamstrings, calves",knee_flexion,yes,"stand with your feet shoulder-width apart and toes slightly turned out. hold the barbell with an overhand grip, resting it on the front of your body, just below your waist. step your left foot forward and your right foot back, keeping your feet shoulder-width apart. bend your knees and lower your body down into a squat position, keeping your back straight and chest up. push through your heels to stand back up to the starting position. repeat the movement, alternating your forward and back foot with each repetition.",https://v2.exercisedb.io/image/pbHeDAJFrV4g9i
137,barbell jm bench press,upper arms,barbell,triceps,"chest, shoulders",elbow_flexion,yes,"lie flat on a bench with your feet flat on the ground and your back pressed against the bench. grasp the barbell with an overhand grip, slightly wider than shoulder-width apart. lower the barbell to your chest, keeping your elbows tucked in close to your body. push the barbell back up to the starting position, fully extending your arms. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/Hmgb5e9spuJAfZ
138,barbell jump squat,upper legs,barbell,glutes,"quadriceps, hamstrings, calves",knee_flexion,yes,"start by standing with your feet shoulder-width apart, holding a barbell across your upper back. lower your body into a squat position by bending your knees and pushing your hips back. once you reach the bottom of the squat, explode upwards by jumping off the ground. as you jump, extend your hips, knees, and ankles, pushing through your toes. land softly back into the squat position and immediately repeat the movement for the desired number of repetitions.",https://v2.exercisedb.io/image/2adVAd0j47fAxi
139,barbell lateral lunge,upper legs,barbell,glutes,"quadriceps, hamstrings, calves",knee_flexion,yes,"stand with your feet shoulder-width apart, holding a barbell across your upper back. take a big step to the side with your right foot, keeping your left foot planted. bend your right knee and lower your body down into a lunge position, keeping your left leg straight. push off with your right foot and return to the starting position. repeat on the other side, stepping with your left foot.",https://v2.exercisedb.io/image/acYEcmxm-W1jYm
140,barbell low bar squat,upper legs,barbell,glutes,"quadriceps, hamstrings, calves",knee_flexion,yes,"stand with your feet shoulder-width apart and the barbell resting on your upper back. keeping your chest up and core engaged, slowly lower your body by bending your knees and pushing your hips back. continue lowering until your thighs are parallel to the ground or slightly below. pause for a moment, then push through your heels to return to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/Oz1Tv6LYtQ1h3c
141,barbell lunge,upper legs,barbell,glutes,"quadriceps, hamstrings, calves",knee_flexion,yes,"start by standing with your feet shoulder-width apart and a barbell resting on your upper back. take a step forward with your right foot, keeping your torso upright. lower your body by bending your right knee until your thigh is parallel to the ground. push through your right heel to return to the starting position. repeat with your left leg, alternating legs for the desired number of repetitions.",https://v2.exercisedb.io/image/Pwxmbr90yG3yLu
142,barbell lying back of the head tricep extension,upper arms,barbell,triceps,shoulders,elbow_flexion,yes,"lie flat on a bench with your feet flat on the ground and your head at the end of the bench. hold a barbell with an overhand grip, hands shoulder-width apart, and extend your arms straight up over your chest. keeping your upper arms stationary, slowly lower the barbell behind your head by bending your elbows. pause for a moment, then extend your arms back up to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/DfVdSshU7XDWVw
143,barbell lying close-grip press,upper arms,barbell,triceps,"chest, shoulders",elbow_flexion,yes,"lie flat on a bench with your feet flat on the ground and your back pressed against the bench. grasp the barbell with a close grip, hands shoulder-width apart, palms facing towards your feet. lift the barbell off the rack and hold it directly above your chest with your arms fully extended. slowly lower the barbell towards your chest, keeping your elbows close to your body. pause for a moment when the barbell touches your chest, then push it back up to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/ItGUd9KpupqGao
144,barbell lying close-grip triceps extension,upper arms,barbell,triceps,shoulders,elbow_flexion,yes,"lie flat on a bench with your feet flat on the ground and your head at the end of the bench. grasp the barbell with a close grip, hands shoulder-width apart, palms facing up. extend your arms fully, lifting the barbell above your chest. keeping your upper arms stationary, slowly lower the barbell towards your forehead by bending your elbows. pause for a moment at the bottom, then extend your arms back to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/sv1Vzehhg2Nk26
145,barbell lying extension,upper arms,barbell,triceps,shoulders,elbow_flexion,yes,"lie flat on a bench with your feet flat on the ground and your head at the end of the bench. hold the barbell with an overhand grip, hands shoulder-width apart, and extend your arms straight up over your chest. keeping your upper arms stationary, slowly lower the barbell towards your forehead by bending your elbows. pause for a moment, then extend your arms back up to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/UagkXbxRhvR2sF
146,barbell lying lifting (on hip),upper legs,barbell,glutes,"hamstrings, quadriceps",knee_flexion,yes,"lie flat on your back on a bench with your feet flat on the ground and your knees bent. hold the barbell with an overhand grip and position it on your hips. engaging your glutes, lift your hips off the bench until your body forms a straight line from your knees to your shoulders. pause for a moment at the top, then slowly lower your hips back down to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/3FJ6aTFWjrRhY9
147,barbell lying preacher curl,upper arms,barbell,biceps,forearms,elbow_flexion,yes,"sit on a preacher bench with your chest against the pad and your arms extended over the edge, holding a barbell with an underhand grip. keeping your upper arms stationary, exhale and curl the weights while contracting your biceps. continue to raise the bar until your biceps are fully contracted and the bar is at shoulder level. hold the contracted position for a brief pause as you squeeze your biceps. inhale and slowly begin to lower the barbell back to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/rZ3jURUxX52jXv
148,barbell lying triceps extension,upper arms,barbell,triceps,shoulders,elbow_flexion,yes,"lie flat on a bench with your feet flat on the ground and your head at the end of the bench. hold the barbell with an overhand grip, hands shoulder-width apart, and extend your arms straight up over your chest. keeping your upper arms stationary, slowly lower the barbell towards your forehead by bending your elbows. pause for a moment at the bottom, then extend your arms back up to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/z1GPtxujBUytj9
149,barbell lying triceps extension skull crusher,upper arms,barbell,triceps,shoulders,elbow_flexion,yes,"lie flat on a bench with your feet flat on the ground and your head at the end of the bench. hold the barbell with an overhand grip, hands shoulder-width apart, and extend your arms straight up over your chest. keeping your upper arms stationary, slowly lower the barbell towards your forehead by bending your elbows. pause for a moment when the barbell is just above your forehead, then extend your arms back up to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/ZM87B6FaT7TmLB
150,barbell narrow stance squat,upper legs,barbell,glutes,"quadriceps, hamstrings, calves",knee_flexion,yes,"stand with your feet shoulder-width apart and toes pointing slightly outward. hold the barbell across your upper back, resting it on your traps or rear delts. engage your core and keep your chest up as you slowly lower your body by bending your knees and pushing your hips back. continue lowering until your thighs are parallel to the ground or slightly below. pause for a moment, then push through your heels to return to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/BGsO8d-68iiUp7
151,barbell one arm bent over row,back,barbell,upper back,"biceps, forearms",other,no,"stand with your feet shoulder-width apart, knees slightly bent, and hold a barbell with one hand using an overhand grip. bend forward at the hips, keeping your back straight and your head in a neutral position. pull the barbell up towards your chest, keeping your elbow close to your body and squeezing your shoulder blades together. lower the barbell back down to the starting position in a controlled manner. repeat for the desired number of repetitions, then switch to the other arm.",https://v2.exercisedb.io/image/iedpdSuM8IrhyR
152,barbell one arm floor press,upper arms,barbell,triceps,"chest, shoulders",elbow_flexion,yes,"lie flat on your back on the floor with your knees bent and feet flat on the ground. hold the barbell with one hand, palm facing up, and extend your arm straight up over your chest. slowly lower the barbell towards your chest, keeping your elbow close to your body. pause for a moment at the bottom, then push the barbell back up to the starting position. repeat for the desired number of repetitions, then switch arms.",https://v2.exercisedb.io/image/1hQ9x4HX7ano3m
153,barbell one arm side deadlift,upper legs,barbell,glutes,"hamstrings, quadriceps, lower back",knee_flexion,yes,"stand with your feet shoulder-width apart, holding a barbell in one hand with an overhand grip. keep your back straight and your core engaged. bend at the hips and lower the barbell towards the outside of your leg, keeping your arm straight and your chest up. lower the barbell as far as you can while maintaining good form. pause for a moment, then slowly return to the starting position. repeat for the desired number of repetitions, then switch sides.",https://v2.exercisedb.io/image/TU5Kc7PmOg4Kbo
154,barbell one arm snatch,shoulders,barbell,delts,"traps, forearms, core",other,no,"stand with your feet shoulder-width apart, toes pointing slightly outwards. hold the barbell with an overhand grip, hands slightly wider than shoulder-width apart. bend your knees and lower your hips into a squat position, keeping your back straight and chest up. explosively extend your hips, knees, and ankles, driving the barbell upwards. as the barbell reaches chest level, pull it upwards with your arm, keeping it close to your body. rotate your elbow under the barbell and extend your arm fully overhead, locking out your elbow. lower the barbell back down to the starting position in a controlled manner. repeat for the desired number of repetitions, then switch arms.",https://v2.exercisedb.io/image/jxV-DC8zgCTEqQ
155,barbell one leg squat,upper legs,barbell,quads,"glutes, hamstrings, calves",other,no,"stand with your feet shoulder-width apart and hold a barbell across your upper back. lift one foot off the ground and extend it forward, keeping it parallel to the ground. bend your standing leg and lower your body down as if sitting back into a chair, keeping your chest up and your back straight. lower yourself until your thigh is parallel to the ground, then push through your heel to return to the starting position. repeat for the desired number of repetitions, then switch legs and repeat.",https://v2.exercisedb.io/image/uMagnRPkdgsumW
156,barbell overhead squat,upper legs,barbell,quads,"glutes, hamstrings, calves, core",other,no,"stand with your feet shoulder-width apart and toes slightly turned out. hold the barbell with a wide grip, positioning it overhead with your arms fully extended. engage your core and lower your body down into a squat position, keeping your chest up and knees tracking over your toes. pause for a moment at the bottom, then push through your heels to return to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/yF0hJtK2OllNFp
157,barbell palms down wrist curl over a bench,lower arms,barbell,forearms,"biceps, brachialis",other,no,"sit on a bench with your feet flat on the ground and your forearms resting on your thighs, palms facing down. hold a barbell with an overhand grip, hands shoulder-width apart. lower the barbell towards the ground by flexing your wrists, keeping your forearms stationary. pause for a moment at the bottom, then slowly raise the barbell back up by extending your wrists. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/t0FbvEEv0O7zgQ
158,barbell palms up wrist curl over a bench,lower arms,barbell,forearms,"biceps, shoulders",other,no,"sit on a bench with your feet flat on the ground and hold a barbell with an underhand grip, palms facing up. rest your forearms on the bench, allowing your wrists to hang off the edge. keeping your forearms stationary, exhale and curl your wrists upwards as far as possible. hold the contracted position for a brief pause, then inhale and slowly lower the barbell back to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/MASH24WRX3M7PG
159,barbell pendlay row,back,barbell,upper back,"biceps, forearms",other,no,"stand with your feet shoulder-width apart and your knees slightly bent. bend forward at the hips, keeping your back straight and your chest up. grasp the barbell with an overhand grip, slightly wider than shoulder-width apart. pull the barbell towards your upper abdomen, squeezing your shoulder blades together. lower the barbell back down to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/NOnVhJIPqV-4HR
160,barbell pin presses,upper arms,barbell,triceps,shoulders,elbow_flexion,yes,"set up a barbell on a power rack at chest height. stand facing the barbell and position yourself underneath it, with your feet shoulder-width apart. grip the barbell with an overhand grip, slightly wider than shoulder-width apart. lift the barbell off the rack and hold it directly above your chest, with your arms fully extended. lower the barbell down towards your chest, keeping your elbows tucked in close to your body. pause for a moment when the barbell touches your chest. push the barbell back up to the starting position, fully extending your arms. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/NJ2qxS6A6f3Hm1
161,barbell preacher curl,upper arms,barbell,biceps,forearms,elbow_flexion,yes,"sit on a preacher bench with your upper arms resting on the pad and your chest against the support. grasp the barbell with an underhand grip, slightly wider than shoulder-width apart. keeping your upper arms stationary, exhale and curl the barbell up towards your shoulders. pause for a moment at the top, squeezing your biceps. inhale and slowly lower the barbell back down to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/dAvCIUQSU2u6V1
162,barbell press sit-up,waist,barbell,abs,"shoulders, chest",other,no,"lie flat on your back on a mat with your knees bent and feet flat on the ground. hold the barbell with an overhand grip, resting it on your chest. engaging your abs, slowly lift your upper body off the ground, curling forward until your torso is at a 45-degree angle. pause for a moment at the top, then slowly lower your upper body back down to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/G94GPVt0MoAN1K
163,barbell prone incline curl,upper arms,barbell,biceps,forearms,elbow_flexion,yes,"set up an incline bench at a 45-degree angle. lie face down on the bench with your chest and stomach resting against it. hold a barbell with an underhand grip, shoulder-width apart. extend your arms fully, allowing the barbell to hang down towards the floor. keeping your upper arms stationary, exhale and curl the weights while contracting your biceps. continue to raise the barbell until your biceps are fully contracted and the bar is at shoulder level. hold the contracted position for a brief pause as you squeeze your biceps. inhale and slowly begin to lower the barbell back to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/nCZ7YsAUQoaCB6
164,barbell pullover,back,barbell,lats,"chest, triceps",other,no,"lie flat on a bench with your head at one end and your feet on the floor. hold a barbell with a shoulder-width grip and extend your arms straight above your chest. keeping your arms straight, lower the barbell behind your head in a controlled manner until you feel a stretch in your lats. pause for a moment, then raise the barbell back to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/VX20Ozs7lHYkcg
165,barbell pullover to press,back,barbell,lats,"triceps, chest, shoulders",other,no,"lie flat on a bench with your head at one end and your feet on the ground. hold the barbell with a pronated grip (palms facing away from you) and extend your arms straight above your chest. keeping your arms straight, lower the barbell behind your head in an arc-like motion until you feel a stretch in your lats. pause for a moment, then reverse the motion and press the barbell back to the starting position above your chest. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/NdBcLVljwPaHOh
166,barbell rack pull,upper legs,barbell,glutes,"hamstrings, lower back",knee_flexion,yes,"set up a barbell on a rack at knee height. stand with your feet shoulder-width apart, toes pointing slightly outwards. bend at the hips and knees to lower yourself down and grip the barbell with an overhand grip, hands shoulder-width apart. engage your core and lift the barbell by extending your hips and knees, pulling your shoulders back and squeezing your glutes at the top. lower the barbell back down to the starting position by bending at the hips and knees. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/AnR5G7P1wrsRtI
167,barbell rear delt raise,shoulders,barbell,delts,"traps, rhomboids",other,no,"stand with your feet shoulder-width apart and hold a barbell with an overhand grip, palms facing down. bend your knees slightly and hinge forward at the hips, keeping your back straight. raise the barbell out to the sides, keeping your arms straight, until they are parallel to the ground. pause for a moment at the top, then slowly lower the barbell back to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/U1ugVnlUoujvWe
168,barbell rear delt row,shoulders,barbell,delts,"trapezius, rhomboids, biceps",other,no,"stand with your feet shoulder-width apart and knees slightly bent. hold a barbell with an overhand grip, hands slightly wider than shoulder-width apart. bend forward at the hips, keeping your back straight and chest up. pull the barbell towards your chest, squeezing your shoulder blades together. pause for a moment at the top, then slowly lower the barbell back to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/Hzau2FzW35a4RE
169,barbell rear lunge,upper legs,barbell,glutes,"quadriceps, hamstrings, calves",knee_flexion,yes,"start by standing with your feet shoulder-width apart and a barbell resting on your upper back. take a step backward with your right foot, landing on the ball of your foot. bend both knees to lower your body until your left thigh is parallel to the ground. push through your left heel to return to the starting position. repeat with the other leg.",https://v2.exercisedb.io/image/ccacoKO7lCxJBM
