Name,Target_Muscle,Equipment,Video_URL,Difficulty,Type,Check_Type,Avoid_If,Progression_Next,Alternative_Swap,Wger_Image_URL
Cable Curl,Upper Arms,Cable,https://www.youtube.com/embed?listType=search&list=Cable+Curl+Upper+Arms+variation+281-1+exercise+tutorial+proper+form,Beginner,Compound,curl_logic,,Cable Drag Curl,Ez Barbell Seated Curls,https://wger.de/media/exercise-images/364/b318dde9-f5f2-489f-940a-cd864affb9e3.png
Cable Deadlift,Upper Legs,Cable,,Advanced,Compound,general_logic,Knee Pain,Cable Hip Adduction,Pike-To-Cobra Push-Up,https://wger.de/media/exercise-images/161/Dead-lifts-2.png
Cable Decline Fly,Chest,Cable,,Beginner,Compound,general_logic,,Cable Decline One Arm Press,Roller Seated Shoulder Flexor Depresor Retractor,https://wger.de/media/exercise-images/822/74affc0d-03b6-4f33-b5f4-a822a2615f68.png
Cable Decline One Arm Press,Chest,Cable,https://www.youtube.com/embed?listType=search&list=Cable+Decline+One+Arm+Press+exercise+tutorial+proper+form,Intermediate,Compound,press_logic,,Cable Decline Press,Resistance Band Seated Chest Press,
Cable Decline Press,Chest,Cable,https://www.youtube.com/embed?listType=search&list=Cable+Decline+Press+exercise+tutorial+proper+form,Advanced,Compound,press_logic,,Cable Incline Bench Press,Raise Single Arm Push-Up,https://wger.de/media/exercise-images/1644/cde4f147-d49a-492f-9c8a-e3c76788fd26.jpg
Cable Decline Seated Wide-Grip Row,Back,Cable,https://www.youtube.com/embed?listType=search&list=Cable+Decline+Seated+Wide-Grip+Row+exercise+tutorial+proper+form,Beginner,Compound,row_logic,Back Pain,Cable Floor Seated Wide-Grip Row,One Arm Chin-Up,https://wger.de/media/exercise-images/1117/e74255c0-67a0-4309-b78d-2d79e6ff8c11.png
Cable Drag Curl,Upper Arms,Cable,https://www.youtube.com/embed?listType=search&list=Cable+Drag+Curl+exercise+tutorial+proper+form,Intermediate,Compound,curl_logic,,Cable Hammer Curl (With Rope),Ez Barbell Reverse Grip Preacher Curl,https://wger.de/media/exercise-images/364/b318dde9-f5f2-489f-940a-cd864affb9e3.png
Cable Floor Seated Wide-Grip Row,Back,Cable,https://www.youtube.com/embed?listType=search&list=Cable+Floor+Seated+Wide-Grip+Row+exercise+tutorial+proper+form,Beginner,Compound,row_logic,Back Pain,Cable High Row (Kneeling),One Arm Against Wall,https://wger.de/media/exercise-images/1117/e74255c0-67a0-4309-b78d-2d79e6ff8c11.png
Cable Forward Raise,Shoulders,Cable,https://www.youtube.com/embed?listType=search&list=Cable+Forward+Raise+exercise+tutorial+proper+form,Intermediate,Compound,general_logic,Shoulder Pain,Cable Front Raise,Kettlebell Seated Two Arm Military Press,
Cable Front Raise,Shoulders,Cable,,Beginner,Compound,general_logic,Shoulder Pain,Cable Front Shoulder Raise,Kettlebell Seated Press,https://wger.de/media/exercise-images/1745/9c92843a-6b90-428b-a868-9af4b11bad38.jpg
Cable Front Shoulder Raise,Shoulders,Cable,https://www.youtube.com/embed?listType=search&list=Cable+Front+Shoulder+Raise+exercise+tutorial+proper+form,Advanced,Compound,general_logic,Shoulder Pain,Cable Kneeling Rear Delt Row (With Rope) (Male),Kettlebell Pirate Supper Legs,
Cable Hammer Curl (With Rope),Upper Arms,Cable,https://www.youtube.com/embed?listType=search&list=Cable+Hammer+Curl+%28With+Rope%29+exercise+tutorial+proper+form,Advanced,Compound,curl_logic,,Cable High Pulley Overhead Tricep Extension,Ez Barbell Reverse Grip Curl,
Cable High Pulley Overhead Tricep Extension,Upper Arms,Cable,,Intermediate,Compound,general_logic,,Cable Incline Triceps Extension,Ez Barbell Jm Bench Press,https://wger.de/media/exercise-images/1187/cd16b706-b9d2-47a7-81cf-a27724017d89.jpg
Cable High Row (Kneeling),Back,Cable,https://www.youtube.com/embed?listType=search&list=Cable+High+Row+%28Kneeling%29+exercise+tutorial+proper+form,Beginner,Compound,row_logic,Back Pain,Cable Incline Bench Row,Muscle-Up (On Vertical Bar),
Cable Hip Adduction,Upper Legs,Cable,,Intermediate,Compound,general_logic,Knee Pain,Cable Pull Through (With Rope),Pelvic Tilt Into Bridge,https://wger.de/media/exercise-images/12/4a42cc6f-648d-40cc-a72a-c49dd47e1667.webp
Cable Incline Bench Press,Chest,Cable,https://www.youtube.com/embed?listType=search&list=Cable+Incline+Bench+Press+Chest+variation+296-1+exercise+tutorial+proper+form,Beginner,Compound,press_logic,,Cable Incline Fly,Push-Up Plus,https://wger.de/media/exercise-images/192/Bench-press-1.png
Cable Incline Bench Row,Back,Cable,https://www.youtube.com/embed?listType=search&list=Cable+Incline+Bench+Row+exercise+tutorial+proper+form,Intermediate,Compound,row_logic,Back Pain,Cable Incline Pushdown,Muscle Up,
Cable Incline Fly,Chest,Cable,https://www.youtube.com/embed?listType=search&list=Cable+Incline+Fly+Chest+variation+298-1+exercise+tutorial+proper+form,Beginner,Compound,general_logic,,Cable Incline Fly (On Stability Ball),Push-Up Medicine Ball,https://wger.de/media/exercise-images/1643/a6a603e9-a83a-4106-92a7-7d32e1b64c68.webp
Cable Incline Fly (On Stability Ball),Chest,Cable,https://www.youtube.com/embed?listType=search&list=Cable+Incline+Fly+%28On+Stability+Ball%29+exercise+tutorial+proper+form,Beginner,Compound,general_logic,,Cable Low Fly,Push-Up (Wall) V. 2,https://wger.de/media/exercise-images/122/Incline-cable-flyes-1.png
Cable Incline Pushdown,Back,Cable,https://www.youtube.com/embed?listType=search&list=Cable+Incline+Pushdown+exercise+tutorial+proper+form,Beginner,Compound,general_logic,Back Pain,Cable Lat Pulldown Full Range Of Motion,Mixed Grip Chin-Up,
Cable Incline Triceps Extension,Upper Arms,Cable,https://www.youtube.com/embed?listType=search&list=Cable+Incline+Triceps+Extension+Upper+Arms+variation+301-1+exercise+tutorial+proper+form,Beginner,Compound,general_logic,,Cable Kickback,Ez Barbell Incline Triceps Extension,https://wger.de/media/exercise-images/50/695ced5c-9961-4076-add2-cb250d01089e.png
Cable Judo Flip,Waist,Cable,https://www.youtube.com/embed?listType=search&list=Cable+Judo+Flip+exercise+tutorial+proper+form,Advanced,Compound,general_logic,Back Pain,Cable Kneeling Crunch,Quarter Sit-Up,
Cable Kickback,Upper Arms,Cable,https://www.youtube.com/embed?listType=search&list=Cable+Kickback+exercise+tutorial+proper+form,Intermediate,Compound,general_logic,,Cable Kneeling Triceps Extension,Ez Barbell Decline Triceps Extension,
Cable Kneeling Crunch,Waist,Cable,https://www.youtube.com/embed?listType=search&list=Cable+Kneeling+Crunch+exercise+tutorial+proper+form,Intermediate,Compound,crunch_logic,Back Pain,Cable Reverse Crunch,Push-Up To Side Plank,
Cable Kneeling Rear Delt Row (With Rope) (Male),Shoulders,Cable,https://www.youtube.com/embed?listType=search&list=Cable+Kneeling+Rear+Delt+Row+%28With+Rope%29+%28Male%29+exercise+tutorial+proper+form,Advanced,Compound,row_logic,Shoulder Pain,Cable Lateral Raise,Kettlebell One Arm Snatch,
Cable Kneeling Triceps Extension,Upper Arms,Cable,https://www.youtube.com/embed?listType=search&list=Cable+Kneeling+Triceps+Extension+Upper+Arms+variation+306-1+exercise+tutorial+proper+form,Advanced,Compound,general_logic,,Cable Lying Bicep Curl,Ez Barbell Decline Close Grip Face Press,https://wger.de/media/exercise-images/50/695ced5c-9961-4076-add2-cb250d01089e.png
Cable Lat Pulldown Full Range Of Motion,Back,Cable,https://www.youtube.com/embed?listType=search&list=Cable+Lat+Pulldown+Full+Range+Of+Motion+exercise+tutorial+proper+form,Intermediate,Compound,general_logic,Back Pain,Cable Lateral Pulldown (With Rope Attachment),Medicine Ball Overhead Slam,
Cable Lateral Pulldown (With Rope Attachment),Back,Cable,https://www.youtube.com/embed?listType=search&list=Cable+Lateral+Pulldown+%28With+Rope+Attachment%29+exercise+tutorial+proper+form,Intermediate,Compound,general_logic,Back Pain,Cable Lateral Pulldown With V-Bar,Medicine Ball Catch And Overhead Throw,
Cable Lateral Pulldown With V-Bar,Back,Cable,https://www.youtube.com/embed?listType=search&list=Cable+Lateral+Pulldown+With+V-Bar+exercise+tutorial+proper+form,Advanced,Compound,general_logic,Back Pain,Cable Low Seated Row,Lower Back Curl,
Cable Lateral Raise,Shoulders,Cable,,Advanced,Compound,general_logic,Shoulder Pain,Cable One Arm Lateral Raise,Kettlebell One Arm Push Press,https://wger.de/media/exercise-images/1378/7c1fcf34-fb7e-45e7-a0c1-51f296235315.jpg
Cable Low Fly,Chest,Cable,https://www.youtube.com/embed?listType=search&list=Cable+Low+Fly+exercise+tutorial+proper+form,Advanced,Compound,general_logic,,Cable Lying Fly,Push-Up (Wall),https://wger.de/media/exercise-images/822/74affc0d-03b6-4f33-b5f4-a822a2615f68.png
Cable Low Seated Row,Back,Cable,,Beginner,Compound,row_logic,Back Pain,Cable Lying Extension Pullover (With Rope Attachment),London Bridge,https://wger.de/media/exercise-images/1117/e74255c0-67a0-4309-b78d-2d79e6ff8c11.png
Cable Lying Bicep Curl,Upper Arms,Cable,https://www.youtube.com/embed?listType=search&list=Cable+Lying+Bicep+Curl+Upper+Arms+variation+313-1+exercise+tutorial+proper+form,Beginner,Compound,curl_logic,,Cable Lying Close-Grip Curl,Ez Barbell Curl,https://wger.de/media/exercise-images/1012/8270fdb8-28f1-4eff-b410-af8642085b3f.png
Cable Lying Close-Grip Curl,Upper Arms,Cable,https://www.youtube.com/embed?listType=search&list=Cable+Lying+Close-Grip+Curl+exercise+tutorial+proper+form,Beginner,Compound,curl_logic,,Cable Lying Triceps Extension V. 2,Ez Barbell Close-Grip Curl,
Cable Lying Extension Pullover (With Rope Attachment),Back,Cable,https://www.youtube.com/embed?listType=search&list=Cable+Lying+Extension+Pullover+%28With+Rope+Attachment%29+exercise+tutorial+proper+form,Advanced,Compound,general_logic,Back Pain,Cable One Arm Bent Over Row,Lever Unilateral Row,
Cable Lying Fly,Chest,Cable,https://www.youtube.com/embed?listType=search&list=Cable+Lying+Fly+exercise+tutorial+proper+form,Intermediate,Compound,general_logic,,Cable Middle Fly,Push-Up (On Stability Ball),https://wger.de/media/exercise-images/122/Incline-cable-flyes-1.png
Cable Lying Triceps Extension V. 2,Upper Arms,Cable,https://www.youtube.com/embed?listType=search&list=Cable+Lying+Triceps+Extension+V.+2+Upper+Arms+variation+317-1+exercise+tutorial+proper+form,Intermediate,Compound,general_logic,,Cable One Arm Curl,Ez Barbell Close Grip Preacher Curl,https://wger.de/media/exercise-images/50/695ced5c-9961-4076-add2-cb250d01089e.png
Cable Middle Fly,Chest,Cable,https://www.youtube.com/embed?listType=search&list=Cable+Middle+Fly+exercise+tutorial+proper+form,Advanced,Compound,general_logic,,Cable One Arm Decline Chest Fly,Push-Up (On Stability Ball),https://wger.de/media/exercise-images/822/74affc0d-03b6-4f33-b5f4-a822a2615f68.png
Cable One Arm Bent Over Row,Back,Cable,,Intermediate,Compound,row_logic,Back Pain,Cable One Arm Pulldown,Lever T-Bar Reverse Grip Row,https://wger.de/media/exercise-images/1186/1987a039-cf35-437e-bbdc-40c53dd7d053.jpg
Cable One Arm Curl,Upper Arms,Cable,https://www.youtube.com/embed?listType=search&list=Cable+One+Arm+Curl+Upper+Arms+variation+320-1+exercise+tutorial+proper+form,Intermediate,Compound,curl_logic,,Cable One Arm Preacher Curl,Ez Bar Standing French Press,https://wger.de/media/exercise-images/1109/00b0a0bf-c14a-4f13-bb14-62c09030a1aa.png
Cable One Arm Decline Chest Fly,Chest,Cable,https://www.youtube.com/embed?listType=search&list=Cable+One+Arm+Decline+Chest+Fly+Chest+variation+321-1+exercise+tutorial+proper+form,Advanced,Compound,general_logic,,Cable One Arm Fly On Exercise Ball,Push-Up (Bosu Ball),https://wger.de/media/exercise-images/822/74affc0d-03b6-4f33-b5f4-a822a2615f68.png
Cable One Arm Fly On Exercise Ball,Chest,Cable,https://www.youtube.com/embed?listType=search&list=Cable+One+Arm+Fly+On+Exercise+Ball+exercise+tutorial+proper+form,Intermediate,Compound,general_logic,,Cable One Arm Incline Fly On Exercise Ball,Push-Up,https://wger.de/media/exercise-images/122/Incline-cable-flyes-1.png
Cable One Arm Incline Fly On Exercise Ball,Chest,Cable,https://www.youtube.com/embed?listType=search&list=Cable+One+Arm+Incline+Fly+On+Exercise+Ball+exercise+tutorial+proper+form,Beginner,Compound,general_logic,,Cable One Arm Incline Press,Push Up On Bosu Ball,https://wger.de/media/exercise-images/122/Incline-cable-flyes-1.png
Cable One Arm Incline Press,Chest,Cable,https://www.youtube.com/embed?listType=search&list=Cable+One+Arm+Incline+Press+exercise+tutorial+proper+form,Intermediate,Compound,press_logic,,Cable One Arm Incline Press On Exercise Ball,Push And Pull Bodyweight,
Cable One Arm Incline Press On Exercise Ball,Chest,Cable,https://www.youtube.com/embed?listType=search&list=Cable+One+Arm+Incline+Press+On+Exercise+Ball+exercise+tutorial+proper+form,Beginner,Compound,press_logic,,Cable One Arm Lateral Bent-Over,Plyo Push Up,
Cable One Arm Lateral Bent-Over,Chest,Cable,https://www.youtube.com/embed?listType=search&list=Cable+One+Arm+Lateral+Bent-Over+exercise+tutorial+proper+form,Intermediate,Compound,general_logic,,Cable One Arm Press On Exercise Ball,Modified Hindu Push-Up (Male),
Cable One Arm Lateral Raise,Shoulders,Cable,https://www.youtube.com/embed?listType=search&list=Cable+One+Arm+Lateral+Raise+exercise+tutorial+proper+form,Intermediate,Compound,general_logic,Shoulder Pain,Cable Rear Delt Row (Stirrups),Kettlebell One Arm Military Press To The Side,
Cable One Arm Preacher Curl,Upper Arms,Cable,https://www.youtube.com/embed?listType=search&list=Cable+One+Arm+Preacher+Curl+exercise+tutorial+proper+form,Beginner,Compound,curl_logic,,Cable One Arm Reverse Preacher Curl,Ez Bar Seated Close Grip Concentration Curl,
Cable One Arm Press On Exercise Ball,Chest,Cable,https://www.youtube.com/embed?listType=search&list=Cable+One+Arm+Press+On+Exercise+Ball+exercise+tutorial+proper+form,Beginner,Compound,press_logic,,Cable Press On Exercise Ball,Medicine Ball Chest Push With Run Release,
Cable One Arm Pulldown,Back,Cable,https://www.youtube.com/embed?listType=search&list=Cable+One+Arm+Pulldown+exercise+tutorial+proper+form,Beginner,Compound,general_logic,Back Pain,Cable One Arm Straight Back High Row (Kneeling),Lever T Bar Row,
Cable One Arm Reverse Preacher Curl,Upper Arms,Cable,https://www.youtube.com/embed?listType=search&list=Cable+One+Arm+Reverse+Preacher+Curl+exercise+tutorial+proper+form,Beginner,Compound,curl_logic,,Cable One Arm Tricep Pushdown,Ez Bar Lying Close Grip Triceps Extension Behind Head,
Cable One Arm Straight Back High Row (Kneeling),Back,Cable,https://www.youtube.com/embed?listType=search&list=Cable+One+Arm+Straight+Back+High+Row+%28Kneeling%29+exercise+tutorial+proper+form,Intermediate,Compound,row_logic,Back Pain,Cable Palm Rotational Row,Lever Shrug,
Cable One Arm Tricep Pushdown,Upper Arms,Cable,https://www.youtube.com/embed?listType=search&list=Cable+One+Arm+Tricep+Pushdown+exercise+tutorial+proper+form,Beginner,Compound,general_logic,,Cable Overhead Curl,Ez Bar French Press On Exercise Ball,
Cable Overhead Curl,Upper Arms,Cable,https://www.youtube.com/embed?listType=search&list=Cable+Overhead+Curl+exercise+tutorial+proper+form,Beginner,Compound,curl_logic,,Cable Overhead Curl On Exercise Ball,Exercise Ball Supine Triceps Extension,https://wger.de/media/exercise-images/1109/00b0a0bf-c14a-4f13-bb14-62c09030a1aa.png
Cable Overhead Curl On Exercise Ball,Upper Arms,Cable,https://www.youtube.com/embed?listType=search&list=Cable+Overhead+Curl+On+Exercise+Ball+exercise+tutorial+proper+form,Intermediate,Compound,curl_logic,,Cable Overhead Triceps Extension (Rope Attachment),Exercise Ball Seated Triceps Stretch,
Cable Overhead Triceps Extension (Rope Attachment),Upper Arms,Cable,https://www.youtube.com/embed?listType=search&list=Cable+Overhead+Triceps+Extension+%28Rope+Attachment%29+Upper+Arms+variation+336-1+exercise+tutorial+proper+form,Intermediate,Compound,general_logic,,Cable Preacher Curl,Exercise Ball Dip,https://wger.de/media/exercise-images/1519/fab7f641-27d4-40b5-8edd-1a0a137bfd94.gif
Cable Palm Rotational Row,Back,Cable,https://www.youtube.com/embed?listType=search&list=Cable+Palm+Rotational+Row+exercise+tutorial+proper+form,Beginner,Compound,row_logic,Back Pain,Cable Pulldown,Lever Seated Row,
Cable Preacher Curl,Upper Arms,Cable,https://www.youtube.com/embed?listType=search&list=Cable+Preacher+Curl+Upper+Arms+variation+338-1+exercise+tutorial+proper+form,Intermediate,Compound,curl_logic,,Cable Pulldown Bicep Curl,Elbow Dips,https://wger.de/media/exercise-images/193/Preacher-curl-3-1.png
Cable Press On Exercise Ball,Chest,Cable,https://www.youtube.com/embed?listType=search&list=Cable+Press+On+Exercise+Ball+exercise+tutorial+proper+form,Advanced,Compound,press_logic,,Cable Seated Chest Press,Medicine Ball Chest Push Single Response,
Cable Pull Through (With Rope),Upper Legs,Cable,https://www.youtube.com/embed?listType=search&list=Cable+Pull+Through+%28With+Rope%29+exercise+tutorial+proper+form,Intermediate,Compound,general_logic,Knee Pain,Cable Standing Hip Extension,Outside Leg Kick Push-Up,
Cable Pulldown,Back,Cable,https://www.youtube.com/embed?listType=search&list=Cable+Pulldown+exercise+tutorial+proper+form,Beginner,Compound,general_logic,Back Pain,Cable Pulldown (Pro Lat Bar),Lever Reverse T-Bar Row,https://wger.de/media/exercise-images/1726/2e7e541b-5f55-405a-ae78-3e71b3f42db4.png
Cable Pulldown (Pro Lat Bar),Back,Cable,https://www.youtube.com/embed?listType=search&list=Cable+Pulldown+exercise+tutorial+proper+form,Intermediate,Compound,general_logic,Back Pain,Cable Pushdown (Straight Arm) V. 2,Lever Reverse Grip Vertical Row,
Cable Pulldown Bicep Curl,Upper Arms,Cable,https://www.youtube.com/embed?listType=search&list=Cable+Pulldown+Bicep+Curl+exercise+tutorial+proper+form,Beginner,Compound,curl_logic,,Cable Pushdown,Dumbbells Seated Triceps Extension,
Cable Pushdown,Upper Arms,Cable,,Advanced,Compound,general_logic,,Cable Pushdown (With Rope Attachment),Dumbbell Zottman Preacher Curl,https://wger.de/media/exercise-images/1185/c5ca283d-8958-4fd8-9d59-a3f52a3ac66b.jpg
Cable Pushdown (Straight Arm) V. 2,Back,Cable,https://www.youtube.com/embed?listType=search&list=Cable+Pushdown+%28Straight+Arm%29+V.+2+exercise+tutorial+proper+form,Advanced,Compound,general_logic,Back Pain,Cable Rear Pulldown,Lever Reverse Grip Lateral Pulldown,
Cable Pushdown (With Rope Attachment),Upper Arms,Cable,https://www.youtube.com/embed?listType=search&list=Cable+Pushdown+%28With+Rope+Attachment%29+exercise+tutorial+proper+form,Intermediate,Compound,general_logic,,Cable Rear Drive,Dumbbell Zottman Curl,
Cable Rear Delt Row (Stirrups),Shoulders,Cable,https://www.youtube.com/embed?listType=search&list=Cable+Rear+Delt+Row+%28Stirrups%29+Shoulders+variation+347-1+exercise+tutorial+proper+form,Beginner,Compound,row_logic,Shoulder Pain,Cable Rear Delt Row (With Rope),Kettlebell One Arm Jerk,
Cable Rear Delt Row (With Rope),Shoulders,Cable,https://www.youtube.com/embed?listType=search&list=Cable+Rear+Delt+Row+%28With+Rope%29+Shoulders+variation+348-1+exercise+tutorial+proper+form,Advanced,Compound,row_logic,Shoulder Pain,Cable Seated Rear Lateral Raise,Kettlebell One Arm Clean And Jerk,
Cable Rear Drive,Upper Arms,Cable,https://www.youtube.com/embed?listType=search&list=Cable+Rear+Drive+Upper+Arms+variation+349-1+exercise+tutorial+proper+form,Advanced,Compound,general_logic,,Cable Reverse Curl,Dumbbell Waiter Biceps Curl,https://wger.de/media/exercise-images/822/74affc0d-03b6-4f33-b5f4-a822a2615f68.png
Cable Rear Pulldown,Back,Cable,https://www.youtube.com/embed?listType=search&list=Cable+Rear+Pulldown+exercise+tutorial+proper+form,Intermediate,Compound,general_logic,Back Pain,Cable Reverse-Grip Straight Back Seated High Row,Lever Pullover,
Cable Reverse Crunch,Waist,Cable,https://www.youtube.com/embed?listType=search&list=Cable+Reverse+Crunch+exercise+tutorial+proper+form,Advanced,Compound,crunch_logic,Back Pain,Cable Russian Twists (On Stability Ball),Pull-In (On Stability Ball),
Cable Reverse Curl,Upper Arms,Cable,https://www.youtube.com/embed?listType=search&list=Cable+Reverse+Curl+exercise+tutorial+proper+form,Intermediate,Compound,curl_logic,,Cable Reverse Grip Triceps Pushdown (Sz-Bar) (With Arm Blaster),Dumbbell Twisting Bench Press,
Cable Reverse Grip Triceps Pushdown (Sz-Bar) (With Arm Blaster),Upper Arms,Cable,https://www.youtube.com/embed?listType=search&list=Cable+Reverse+Grip+Triceps+Pushdown+%28Sz-Bar%29+%28With+Arm+Blaster%29+Upper+Arms+variation+353-1+exercise+tutorial+proper+form,Advanced,Compound,general_logic,,Cable Reverse One Arm Curl,Dumbbell Tricep Kickback With Stork Stance,https://wger.de/media/exercise-images/1185/c5ca283d-8958-4fd8-9d59-a3f52a3ac66b.jpg
Cable Reverse One Arm Curl,Upper Arms,Cable,https://www.youtube.com/embed?listType=search&list=Cable+Reverse+One+Arm+Curl+exercise+tutorial+proper+form,Advanced,Compound,curl_logic,,Cable Reverse Preacher Curl,Dumbbell Tate Press,
Cable Reverse Preacher Curl,Upper Arms,Cable,https://www.youtube.com/embed?listType=search&list=Cable+Reverse+Preacher+Curl+exercise+tutorial+proper+form,Intermediate,Compound,curl_logic,,Cable Reverse-Grip Pushdown,Dumbbell Step Up Single Leg Balance With Bicep Curl,
Cable Reverse Wrist Curl,Lower Arms,Cable,https://www.youtube.com/embed?listType=search&list=Cable+Reverse+Wrist+Curl+exercise+tutorial+proper+form,Beginner,Compound,curl_logic,,Cable Standing Back Wrist Curl,Finger Curls,
Cable Reverse-Grip Pushdown,Upper Arms,Cable,https://www.youtube.com/embed?listType=search&list=Cable+Reverse-Grip+Pushdown+exercise+tutorial+proper+form,Beginner,Compound,general_logic,,Cable Rope Hammer Preacher Curl,Dumbbell Standing Zottman Preacher Curl,
Cable Reverse-Grip Straight Back Seated High Row,Back,Cable,https://www.youtube.com/embed?listType=search&list=Cable+Reverse-Grip+Straight+Back+Seated+High+Row+exercise+tutorial+proper+form,Beginner,Compound,row_logic,Back Pain,Cable Rope Crossover Seated Row,Lever One Arm Lateral Wide Pulldown,https://wger.de/media/exercise-images/1117/e74255c0-67a0-4309-b78d-2d79e6ff8c11.png
Cable Rope Crossover Seated Row,Back,Cable,https://www.youtube.com/embed?listType=search&list=Cable+Rope+Crossover+Seated+Row+exercise+tutorial+proper+form,Intermediate,Compound,row_logic,Back Pain,Cable Rope Elevated Seated Row,Lever One Arm Lateral High Row,https://wger.de/media/exercise-images/1117/e74255c0-67a0-4309-b78d-2d79e6ff8c11.png
Cable Rope Elevated Seated Row,Back,Cable,https://www.youtube.com/embed?listType=search&list=Cable+Rope+Elevated+Seated+Row+exercise+tutorial+proper+form,Beginner,Compound,row_logic,Back Pain,Cable Rope Extension Incline Bench Row,Lever One Arm Bent Over Row,https://wger.de/media/exercise-images/1117/e74255c0-67a0-4309-b78d-2d79e6ff8c11.png
Cable Rope Extension Incline Bench Row,Back,Cable,https://www.youtube.com/embed?listType=search&list=Cable+Rope+Extension+Incline+Bench+Row+exercise+tutorial+proper+form,Intermediate,Compound,row_logic,Back Pain,Cable Rope Seated Row,Lever Narrow Grip Seated Row,
Cable Rope Hammer Preacher Curl,Upper Arms,Cable,https://www.youtube.com/embed?listType=search&list=Cable+Rope+Hammer+Preacher+Curl+exercise+tutorial+proper+form,Beginner,Compound,curl_logic,,Cable Rope High Pulley Overhead Tricep Extension,Dumbbell Standing Triceps Extension,
Cable Rope High Pulley Overhead Tricep Extension,Upper Arms,Cable,https://www.youtube.com/embed?listType=search&list=Cable+Rope+High+Pulley+Overhead+Tricep+Extension+Upper+Arms+variation+363-1+exercise+tutorial+proper+form,Advanced,Compound,general_logic,,Cable Rope Incline Tricep Extension,Dumbbell Standing Reverse Curl,
Cable Rope Incline Tricep Extension,Upper Arms,Cable,https://www.youtube.com/embed?listType=search&list=Cable+Rope+Incline+Tricep+Extension+Upper+Arms+variation+364-1+exercise+tutorial+proper+form,Beginner,Compound,general_logic,,Cable Rope Lying On Floor Tricep Extension,Dumbbell Standing Preacher Curl,https://wger.de/media/exercise-images/50/695ced5c-9961-4076-add2-cb250d01089e.png
Cable Rope Lying On Floor Tricep Extension,Upper Arms,Cable,https://www.youtube.com/embed?listType=search&list=Cable+Rope+Lying+On+Floor+Tricep+Extension+exercise+tutorial+proper+form,Advanced,Compound,general_logic,,Cable Rope One Arm Hammer Preacher Curl,Dumbbell Standing One Arm Reverse Curl,
Cable Rope One Arm Hammer Preacher Curl,Upper Arms,Cable,https://www.youtube.com/embed?listType=search&list=Cable+Rope+One+Arm+Hammer+Preacher+Curl+exercise+tutorial+proper+form,Beginner,Compound,curl_logic,,Cable Seated Curl,Dumbbell Standing One Arm Extension,
Cable Rope Seated Row,Back,Cable,https://www.youtube.com/embed?listType=search&list=Cable+Rope+Seated+Row+Back+variation+367-1+exercise+tutorial+proper+form,Beginner,Compound,row_logic,Back Pain,Cable Seated High Row (V-Bar),Lever High Row,https://wger.de/media/exercise-images/1117/e74255c0-67a0-4309-b78d-2d79e6ff8c11.png
Cable Russian Twists (On Stability Ball),Waist,Cable,https://www.youtube.com/embed?listType=search&list=Cable+Russian+Twists+%28On+Stability+Ball%29+Waist+variation+368-1+exercise+tutorial+proper+form,Advanced,Compound,general_logic,Back Pain,Cable Seated Crunch,Prone Twist On Stability Ball,
Cable Seated Chest Press,Chest,Cable,,Beginner,Compound,press_logic,,Cable Standing Fly,Medicine Ball Chest Push Multiple Response,https://wger.de/media/exercise-images/1749/7510c8e5-b39f-4f0e-803c-c46f6357e267.png
Cable Seated Crunch,Waist,Cable,https://www.youtube.com/embed?listType=search&list=Cable+Seated+Crunch+exercise+tutorial+proper+form,Beginner,Compound,crunch_logic,Back Pain,Cable Seated Twist,Prisoner Half Sit-Up (Male),
Cable Seated Curl,Upper Arms,Cable,,Beginner,Compound,curl_logic,,Cable Seated One Arm Concentration Curl,Dumbbell Standing One Arm Curl Over Incline Bench,https://wger.de/media/exercise-images/1448/2184e68c-32b5-413f-a7c1-4a2d1bb98c35.png
Cable Seated High Row (V-Bar),Back,Cable,https://www.youtube.com/embed?listType=search&list=Cable+Seated+High+Row+%28V-Bar%29+Back+variation+372-1+exercise+tutorial+proper+form,Advanced,Compound,row_logic,Back Pain,Cable Seated One Arm Alternate Row,Lever Gripless Shrug V. 2,https://wger.de/media/exercise-images/1117/e74255c0-67a0-4309-b78d-2d79e6ff8c11.png
Cable Seated One Arm Alternate Row,Back,Cable,https://www.youtube.com/embed?listType=search&list=Cable+Seated+One+Arm+Alternate+Row+exercise+tutorial+proper+form,Intermediate,Compound,row_logic,Back Pain,Cable Seated Row,Lever Gripless Shrug,https://wger.de/media/exercise-images/1117/e74255c0-67a0-4309-b78d-2d79e6ff8c11.png
Cable Seated One Arm Concentration Curl,Upper Arms,Cable,https://www.youtube.com/embed?listType=search&list=Cable+Seated+One+Arm+Concentration+Curl+Upper+Arms+variation+374-1+exercise+tutorial+proper+form,Beginner,Compound,curl_logic,,Cable Seated Overhead Curl,Dumbbell Standing One Arm Curl (Over Incline Bench),https://wger.de/media/exercise-images/1649/441cc0e5-eca2-4828-8b0a-a0e554abb2ff.jpg
Cable Seated Overhead Curl,Upper Arms,Cable,https://www.youtube.com/embed?listType=search&list=Cable+Seated+Overhead+Curl+exercise+tutorial+proper+form,Advanced,Compound,curl_logic,,Cable Squatting Curl,Dumbbell Standing One Arm Concentration Curl,
