name,bodyPart,equipment,target,difficulty,intensity,time_minutes
calf push stretch with hands against wall,lower legs,body weight,calves,Beginner,Moderate,15
calf stretch with hands against wall,lower legs,body weight,calves,Beginner,Moderate,15
calf stretch with rope,lower legs,rope,calves,Advanced,Moderate,15
cambered bar lying row,back,barbell,upper back,Intermediate,High,15
captains chair straight leg raise,waist,body weight,abs,Beginner,Low,15
chair leg extended stretch,upper legs,body weight,quads,Beginner,Moderate,15
chest and front of shoulder stretch,chest,body weight,pectorals,Beginner,Low,15
chest dip,chest,body weight,pectorals,Beginner,Low,15
chest dip (on dip-pull-up cage),chest,body weight,pectorals,Beginner,Low,15
chest dip on straight bar,chest,body weight,pectorals,Beginner,Low,15
chest stretch with exercise ball,chest,stability ball,pectorals,Advanced,Low,15
chest tap push-up (male),chest,body weight,pectorals,Beginner,Low,15
chin-up,back,body weight,lats,Beginner,Low,15
chin-ups (narrow parallel grip),back,body weight,upper back,Beginner,High,15
circles knee stretch,lower legs,body weight,calves,Beginner,Moderate,15
clap push up,chest,body weight,pectorals,Beginner,Low,15
clock push-up,chest,body weight,pectorals,Beginner,Low,15
close grip chin-up,back,body weight,lats,Beginner,Low,15
close-grip push-up,upper arms,body weight,triceps,Beginner,Low,15
close-grip push-up (on knees),upper arms,body weight,triceps,Beginner,Low,15
cocoons,waist,body weight,abs,Beginner,Low,15
crab twist toe touch,waist,body weight,abs,Beginner,Low,15
cross body crunch,waist,body weight,abs,Beginner,High,15
crunch (hands overhead),waist,body weight,abs,Beginner,High,15
crunch (on stability ball),waist,stability ball,abs,Advanced,High,15
"crunch (on stability ball, arms straight)",waist,stability ball,abs,Advanced,High,15
crunch floor,waist,body weight,abs,Beginner,High,15
curl-up,waist,body weight,abs,Beginner,Low,15
curtsey squat,upper legs,body weight,glutes,Beginner,Moderate,15
cycle cross trainer,cardio,leverage machine,cardiovascular system,Advanced,High,15
dead bug,waist,body weight,abs,Beginner,Low,15
decline crunch,waist,body weight,abs,Beginner,High,15
decline push-up,chest,body weight,pectorals,Beginner,Low,15
decline sit-up,waist,body weight,abs,Beginner,Low,15
deep push up,chest,dumbbell,pectorals,Intermediate,Low,15
diamond push-up,upper arms,body weight,triceps,Beginner,Low,15
donkey calf raise,lower legs,body weight,calves,Beginner,Moderate,15
drop push up,chest,body weight,pectorals,Beginner,Low,15
dumbbell alternate biceps curl,upper arms,dumbbell,biceps,Intermediate,Low,15
dumbbell alternate biceps curl (with arm blaster),upper arms,dumbbell,biceps,Intermediate,Low,15
dumbbell alternate hammer preacher curl,upper arms,dumbbell,biceps,Intermediate,Low,15
dumbbell alternate preacher curl,upper arms,dumbbell,biceps,Intermediate,Low,15
dumbbell alternate seated hammer curl,upper arms,dumbbell,biceps,Intermediate,Low,15
dumbbell alternate side press,shoulders,dumbbell,delts,Intermediate,Moderate,15
dumbbell alternating bicep curl with leg raised on exercise ball,upper arms,dumbbell,biceps,Intermediate,Low,15
dumbbell alternating seated bicep curl on exercise ball,upper arms,dumbbell,biceps,Intermediate,Low,15
dumbbell arnold press,shoulders,dumbbell,delts,Intermediate,Moderate,15
dumbbell arnold press v. 2,shoulders,dumbbell,delts,Intermediate,Moderate,15
dumbbell around pullover,chest,dumbbell,pectorals,Intermediate,Low,15
dumbbell bench press,chest,dumbbell,pectorals,Intermediate,Moderate,15
dumbbell bench seated press,shoulders,dumbbell,delts,Intermediate,Moderate,15
dumbbell bench squat,upper legs,dumbbell,glutes,Intermediate,Moderate,15
dumbbell bent over row,back,dumbbell,upper back,Intermediate,High,15
dumbbell bicep curl lunge with bowling motion,upper arms,dumbbell,biceps,Intermediate,Low,15
dumbbell bicep curl on exercise ball with leg raised,upper arms,dumbbell,biceps,Intermediate,Low,15
dumbbell bicep curl with stork stance,upper arms,dumbbell,biceps,Intermediate,Low,15
dumbbell biceps curl,upper arms,dumbbell,biceps,Intermediate,Low,15
dumbbell biceps curl (with arm blaster),upper arms,dumbbell,biceps,Intermediate,Low,15
dumbbell biceps curl reverse,upper arms,dumbbell,biceps,Intermediate,Low,15
dumbbell biceps curl squat,upper arms,dumbbell,biceps,Intermediate,Moderate,15
dumbbell biceps curl v sit on bosu ball,upper arms,dumbbell,biceps,Intermediate,Low,15
dumbbell burpee,cardio,dumbbell,cardiovascular system,Intermediate,High,15
dumbbell clean,upper legs,dumbbell,glutes,Intermediate,Moderate,15
dumbbell close grip press,upper arms,dumbbell,triceps,Intermediate,Moderate,15
dumbbell close-grip press,upper arms,dumbbell,triceps,Intermediate,Moderate,15
dumbbell concentration curl,upper arms,dumbbell,biceps,Intermediate,Low,15
dumbbell contralateral forward lunge,upper legs,dumbbell,glutes,Intermediate,Moderate,15
dumbbell cross body hammer curl,upper arms,dumbbell,biceps,Intermediate,Low,15
dumbbell cross body hammer curl v. 2,upper arms,dumbbell,biceps,Intermediate,Low,15
dumbbell cuban press,shoulders,dumbbell,delts,Intermediate,Moderate,15
dumbbell cuban press v. 2,shoulders,dumbbell,delts,Intermediate,Moderate,15
dumbbell deadlift,upper legs,dumbbell,glutes,Intermediate,Moderate,15
dumbbell decline bench press,chest,dumbbell,pectorals,Intermediate,Moderate,15
dumbbell decline fly,chest,dumbbell,pectorals,Intermediate,Low,15
dumbbell decline hammer press,chest,dumbbell,pectorals,Intermediate,Moderate,15
dumbbell decline one arm fly,chest,dumbbell,pectorals,Intermediate,Low,15
dumbbell decline one arm hammer press,upper arms,dumbbell,triceps,Intermediate,Moderate,15
dumbbell decline shrug,back,dumbbell,traps,Intermediate,Low,15
dumbbell decline shrug v. 2,back,dumbbell,traps,Intermediate,Low,15
dumbbell decline triceps extension,upper arms,dumbbell,triceps,Intermediate,Low,15
dumbbell decline twist fly,chest,dumbbell,pectorals,Intermediate,Low,15
dumbbell finger curls,lower arms,dumbbell,forearms,Intermediate,Low,15
dumbbell fly,chest,dumbbell,pectorals,Intermediate,Low,15
dumbbell fly on exercise ball,chest,dumbbell,pectorals,Intermediate,Low,15
dumbbell forward lunge triceps extension,upper arms,dumbbell,triceps,Intermediate,Low,15
dumbbell front raise,shoulders,dumbbell,delts,Intermediate,Low,15
dumbbell front raise v. 2,shoulders,dumbbell,delts,Intermediate,Low,15
dumbbell full can lateral raise,shoulders,dumbbell,delts,Intermediate,Low,15
dumbbell goblet squat,upper legs,dumbbell,quads,Intermediate,Moderate,15
dumbbell hammer curl,upper arms,dumbbell,biceps,Intermediate,Low,15
dumbbell hammer curl on exercise ball,upper arms,dumbbell,biceps,Intermediate,Low,15
dumbbell hammer curl v. 2,upper arms,dumbbell,biceps,Intermediate,Low,15
dumbbell hammer curls (with arm blaster),upper arms,dumbbell,biceps,Intermediate,Low,15
dumbbell high curl,upper arms,dumbbell,biceps,Intermediate,Low,15
dumbbell incline alternate press,chest,dumbbell,pectorals,Intermediate,Moderate,15
dumbbell incline bench press,chest,dumbbell,pectorals,Intermediate,Moderate,15
dumbbell incline biceps curl,upper arms,dumbbell,biceps,Intermediate,Low,15
dumbbell incline breeding,chest,dumbbell,pectorals,Intermediate,Low,15
dumbbell incline curl,upper arms,dumbbell,biceps,Intermediate,Low,15
dumbbell incline curl v. 2,upper arms,dumbbell,biceps,Intermediate,Low,15
dumbbell incline fly,chest,dumbbell,pectorals,Intermediate,Low,15
dumbbell incline fly on exercise ball,chest,dumbbell,pectorals,Intermediate,Low,15
dumbbell incline hammer curl,upper arms,dumbbell,biceps,Intermediate,Low,15
dumbbell incline hammer press,chest,dumbbell,pectorals,Intermediate,Moderate,15
dumbbell incline hammer press on exercise ball,upper arms,dumbbell,triceps,Intermediate,Moderate,15
dumbbell incline inner biceps curl,upper arms,dumbbell,biceps,Intermediate,Low,15
dumbbell incline one arm fly,chest,dumbbell,pectorals,Intermediate,Low,15
dumbbell incline one arm fly on exercise ball,chest,dumbbell,pectorals,Intermediate,Low,15
dumbbell incline one arm hammer press,upper arms,dumbbell,triceps,Intermediate,Moderate,15
dumbbell incline one arm hammer press on exercise ball,upper arms,dumbbell,triceps,Intermediate,Moderate,15
dumbbell incline one arm lateral raise,shoulders,dumbbell,delts,Intermediate,Low,15
dumbbell incline one arm press,chest,dumbbell,pectorals,Intermediate,Moderate,15
dumbbell incline one arm press on exercise ball,chest,dumbbell,pectorals,Intermediate,Moderate,15
dumbbell incline palm-in press,chest,dumbbell,pectorals,Intermediate,Moderate,15
dumbbell incline press on exercise ball,chest,dumbbell,pectorals,Intermediate,Moderate,15
dumbbell incline raise,shoulders,dumbbell,delts,Intermediate,Low,15
dumbbell incline rear lateral raise,shoulders,dumbbell,delts,Intermediate,Low,15
dumbbell incline row,back,dumbbell,upper back,Intermediate,High,15
dumbbell incline shoulder raise,chest,dumbbell,serratus anterior,Intermediate,Low,15
dumbbell incline shrug,back,dumbbell,traps,Intermediate,Low,15
dumbbell incline t-raise,shoulders,dumbbell,delts,Intermediate,Low,15
dumbbell incline triceps extension,upper arms,dumbbell,triceps,Intermediate,Low,15
dumbbell incline twisted flyes,chest,dumbbell,pectorals,Intermediate,Low,15
dumbbell incline two arm extension,upper arms,dumbbell,triceps,Intermediate,Low,15
dumbbell incline y-raise,back,dumbbell,upper back,Intermediate,Low,15
dumbbell iron cross,shoulders,dumbbell,delts,Intermediate,Low,15
dumbbell kickback,upper arms,dumbbell,triceps,Intermediate,Low,15
dumbbell kickbacks on exercise ball,upper arms,dumbbell,triceps,Intermediate,Low,15
dumbbell kneeling bicep curl exercise ball,upper arms,dumbbell,biceps,Intermediate,Low,15
dumbbell lateral raise,shoulders,dumbbell,delts,Intermediate,Low,15
dumbbell lateral to front raise,shoulders,dumbbell,delts,Intermediate,Low,15
dumbbell lunge,upper legs,dumbbell,glutes,Intermediate,Moderate,15
dumbbell lunge with bicep curl,upper arms,dumbbell,biceps,Intermediate,Low,15
dumbbell lying extension (across face),upper arms,dumbbell,triceps,Intermediate,Low,15
dumbbell lying alternate extension,upper arms,dumbbell,triceps,Intermediate,Low,15
dumbbell lying elbow press,upper arms,dumbbell,triceps,Intermediate,Moderate,15
dumbbell lying external shoulder rotation,shoulders,dumbbell,delts,Intermediate,Low,15
dumbbell lying femoral,upper legs,dumbbell,hamstrings,Intermediate,Moderate,15
dumbbell lying hammer press,chest,dumbbell,pectorals,Intermediate,Moderate,15
dumbbell lying on floor rear delt raise,shoulders,dumbbell,delts,Intermediate,Low,15
dumbbell lying one arm deltoid rear,shoulders,dumbbell,delts,Intermediate,Low,15
dumbbell lying one arm press,chest,dumbbell,pectorals,Intermediate,Moderate,15
dumbbell lying one arm press v. 2,chest,dumbbell,pectorals,Intermediate,Moderate,15
dumbbell lying one arm pronated triceps extension,upper arms,dumbbell,triceps,Intermediate,Low,15
dumbbell lying one arm rear lateral raise,shoulders,dumbbell,delts,Intermediate,Low,15
dumbbell lying one arm supinated triceps extension,upper arms,dumbbell,triceps,Intermediate,Low,15
dumbbell lying pronation,lower arms,dumbbell,forearms,Intermediate,Low,15
dumbbell lying pronation on floor,lower arms,dumbbell,forearms,Intermediate,Low,15
dumbbell lying pullover on exercise ball,chest,dumbbell,pectorals,Intermediate,Low,15
dumbbell lying rear delt row,back,dumbbell,upper back,Intermediate,High,15
dumbbell lying rear lateral raise,shoulders,dumbbell,delts,Intermediate,Low,15
dumbbell lying single extension,upper arms,dumbbell,triceps,Intermediate,Low,15
dumbbell lying supination,lower arms,dumbbell,forearms,Intermediate,Low,15
dumbbell lying supination on floor,lower arms,dumbbell,forearms,Intermediate,Low,15
dumbbell lying supine biceps curl,upper arms,dumbbell,biceps,Intermediate,Low,15
dumbbell lying supine curl,upper arms,dumbbell,biceps,Intermediate,Low,15
dumbbell lying triceps extension,upper arms,dumbbell,triceps,Intermediate,Low,15
dumbbell lying wide curl,upper arms,dumbbell,biceps,Intermediate,Low,15
dumbbell neutral grip bench press,upper arms,dumbbell,triceps,Intermediate,Moderate,15
dumbbell one arm bench fly,chest,dumbbell,pectorals,Intermediate,Low,15
dumbbell one arm bent-over row,back,dumbbell,upper back,Intermediate,High,15
dumbbell one arm chest fly on exercise ball,chest,dumbbell,pectorals,Intermediate,Low,15
dumbbell one arm concentration curl (on stability ball),upper arms,dumbbell,biceps,Intermediate,Low,15
dumbbell one arm decline chest press,chest,dumbbell,pectorals,Intermediate,Moderate,15
dumbbell one arm fly on exercise ball,chest,dumbbell,pectorals,Intermediate,Low,15
dumbbell one arm french press on exercise ball,upper arms,dumbbell,triceps,Intermediate,Moderate,15
dumbbell one arm hammer preacher curl,upper arms,dumbbell,biceps,Intermediate,Low,15
dumbbell one arm hammer press on exercise ball,upper arms,dumbbell,triceps,Intermediate,Moderate,15
dumbbell one arm incline chest press,chest,dumbbell,pectorals,Intermediate,Moderate,15
dumbbell one arm kickback,upper arms,dumbbell,triceps,Intermediate,Low,15
dumbbell one arm lateral raise,shoulders,dumbbell,delts,Intermediate,Low,15
dumbbell one arm lateral raise with support,shoulders,dumbbell,delts,Intermediate,Low,15
dumbbell one arm press on exercise ball,chest,dumbbell,pectorals,Intermediate,Moderate,15
dumbbell one arm prone curl,upper arms,dumbbell,biceps,Intermediate,Low,15
dumbbell one arm prone hammer curl,upper arms,dumbbell,biceps,Intermediate,Low,15
dumbbell one arm pullover on exercise ball,chest,dumbbell,pectorals,Intermediate,Low,15
dumbbell one arm reverse wrist curl,lower arms,dumbbell,forearms,Intermediate,Low,15
dumbbell one arm reverse fly (with support),shoulders,dumbbell,delts,Intermediate,Low,15
dumbbell one arm reverse grip press,chest,dumbbell,pectorals,Intermediate,Moderate,15
dumbbell one arm reverse preacher curl,upper arms,dumbbell,biceps,Intermediate,Low,15
dumbbell one arm reverse spider curl,upper arms,dumbbell,biceps,Intermediate,Low,15
dumbbell one arm seated bicep curl on exercise ball,upper arms,dumbbell,biceps,Intermediate,Low,15
dumbbell one arm seated hammer curl,upper arms,dumbbell,biceps,Intermediate,Low,15
dumbbell one arm seated neutral wrist curl,lower arms,dumbbell,forearms,Intermediate,Low,15
dumbbell one arm shoulder press,shoulders,dumbbell,delts,Intermediate,Moderate,15
dumbbell one arm shoulder press v. 2,shoulders,dumbbell,delts,Intermediate,Moderate,15
dumbbell one arm snatch,upper legs,dumbbell,glutes,Intermediate,Moderate,15
dumbbell one arm standing curl,upper arms,dumbbell,biceps,Intermediate,Low,15
dumbbell one arm standing hammer curl,upper arms,dumbbell,biceps,Intermediate,Low,15
dumbbell one arm triceps extension (on bench),upper arms,dumbbell,triceps,Intermediate,Low,15
dumbbell one arm upright row,shoulders,dumbbell,delts,Intermediate,High,15
dumbbell one arm wrist curl,lower arms,dumbbell,forearms,Intermediate,Low,15
dumbbell one arm zottman preacher curl,upper arms,dumbbell,biceps,Intermediate,Low,15
dumbbell one leg fly on exercise ball,chest,dumbbell,pectorals,Intermediate,Low,15
dumbbell over bench neutral wrist curl,upper arms,dumbbell,biceps,Intermediate,Low,15
dumbbell over bench one arm neutral wrist curl,upper arms,dumbbell,biceps,Intermediate,Low,15
dumbbell over bench one arm reverse wrist curl,lower arms,dumbbell,forearms,Intermediate,Low,15
dumbbell over bench one arm wrist curl,lower arms,dumbbell,forearms,Intermediate,Low,15
dumbbell over bench revers wrist curl,lower arms,dumbbell,forearms,Intermediate,Low,15
dumbbell over bench wrist curl,lower arms,dumbbell,forearms,Intermediate,Low,15
dumbbell palm rotational bent over row,back,dumbbell,upper back,Intermediate,High,15
dumbbell palms in incline bench press,upper arms,dumbbell,triceps,Intermediate,Moderate,15
dumbbell peacher hammer curl,upper arms,dumbbell,biceps,Intermediate,Low,15
dumbbell plyo squat,upper legs,dumbbell,glutes,Intermediate,Moderate,15
dumbbell preacher curl,upper arms,dumbbell,biceps,Intermediate,Low,15
dumbbell preacher curl over exercise ball,upper arms,dumbbell,biceps,Intermediate,Low,15
dumbbell press on exercise ball,chest,dumbbell,pectorals,Intermediate,Moderate,15
dumbbell pronate-grip triceps extension,upper arms,dumbbell,triceps,Intermediate,Low,15
dumbbell prone incline curl,upper arms,dumbbell,biceps,Intermediate,Low,15
dumbbell prone incline hammer curl,upper arms,dumbbell,biceps,Intermediate,Low,15
dumbbell pullover,chest,dumbbell,pectorals,Intermediate,Low,15
dumbbell pullover hip extension on exercise ball,chest,dumbbell,pectorals,Intermediate,Low,15
dumbbell pullover on exercise ball,chest,dumbbell,pectorals,Intermediate,Low,15
dumbbell push press,shoulders,dumbbell,delts,Intermediate,Moderate,15
dumbbell raise,shoulders,dumbbell,delts,Intermediate,Low,15
dumbbell rear delt raise,shoulders,dumbbell,delts,Intermediate,Low,15
dumbbell rear delt row_shoulder,shoulders,dumbbell,delts,Intermediate,High,15
dumbbell rear fly,shoulders,dumbbell,delts,Intermediate,Low,15
dumbbell rear lateral raise,shoulders,dumbbell,delts,Intermediate,Low,15
dumbbell rear lateral raise (support head),shoulders,dumbbell,delts,Intermediate,Low,15
dumbbell rear lunge,upper legs,dumbbell,glutes,Intermediate,Moderate,15
dumbbell revers grip biceps curl,upper arms,dumbbell,biceps,Intermediate,Low,15
dumbbell reverse bench press,chest,dumbbell,pectorals,Intermediate,Moderate,15
dumbbell reverse fly,shoulders,dumbbell,delts,Intermediate,Low,15
dumbbell reverse grip incline bench one arm row,back,dumbbell,upper back,Intermediate,High,15
dumbbell reverse grip incline bench two arm row,back,dumbbell,upper back,Intermediate,High,15
dumbbell reverse grip row (female),back,dumbbell,upper back,Intermediate,High,15
dumbbell reverse preacher curl,upper arms,dumbbell,biceps,Intermediate,Low,15
dumbbell reverse spider curl,upper arms,dumbbell,biceps,Intermediate,Low,15
dumbbell reverse wrist curl,lower arms,dumbbell,forearms,Intermediate,Low,15
dumbbell romanian deadlift,upper legs,dumbbell,glutes,Intermediate,Moderate,15
dumbbell rotation reverse fly,shoulders,dumbbell,delts,Intermediate,Low,15
dumbbell scott press,shoulders,dumbbell,delts,Intermediate,Moderate,15
dumbbell seated alternate front raise,shoulders,dumbbell,delts,Intermediate,Low,15
dumbbell seated alternate hammer curl on exercise ball,upper arms,dumbbell,biceps,Intermediate,Low,15
dumbbell seated alternate press,shoulders,dumbbell,delts,Intermediate,Moderate,15
dumbbell seated alternate shoulder,shoulders,dumbbell,delts,Intermediate,Low,15
dumbbell seated bench extension,upper arms,dumbbell,triceps,Intermediate,Low,15
dumbbell seated bent arm lateral raise,shoulders,dumbbell,delts,Intermediate,Low,15
dumbbell seated bent over alternate kickback,upper arms,dumbbell,triceps,Intermediate,Low,15
dumbbell seated bent over triceps extension,upper arms,dumbbell,triceps,Intermediate,Low,15
dumbbell seated bicep curl,upper arms,dumbbell,biceps,Intermediate,Low,15
dumbbell seated biceps curl (on stability ball),upper arms,dumbbell,biceps,Intermediate,Low,15
dumbbell seated biceps curl to shoulder press,upper arms,dumbbell,biceps,Intermediate,Moderate,15
dumbbell seated calf raise,lower legs,dumbbell,calves,Intermediate,Moderate,15
dumbbell seated curl,upper arms,dumbbell,biceps,Intermediate,Low,15
dumbbell seated front raise,shoulders,dumbbell,delts,Intermediate,Low,15
dumbbell seated hammer curl,upper arms,dumbbell,biceps,Intermediate,Low,15
dumbbell seated inner biceps curl,upper arms,dumbbell,biceps,Intermediate,Low,15
dumbbell seated kickback,upper arms,dumbbell,triceps,Intermediate,Low,15
dumbbell seated lateral raise,shoulders,dumbbell,delts,Intermediate,Low,15
dumbbell seated lateral raise v. 2,shoulders,dumbbell,delts,Intermediate,Low,15
dumbbell seated neutral wrist curl,upper arms,dumbbell,biceps,Intermediate,Low,15
dumbbell seated one arm bicep curl on exercise ball with leg raised,upper arms,dumbbell,biceps,Intermediate,Low,15
dumbbell seated one arm kickback,upper arms,dumbbell,triceps,Intermediate,Low,15
dumbbell seated one arm rotate,lower arms,dumbbell,forearms,Intermediate,Low,15
dumbbell seated one leg calf raise,lower legs,dumbbell,calves,Intermediate,Moderate,15
dumbbell seated one leg calf raise - hammer grip,lower legs,dumbbell,calves,Intermediate,Moderate,15
dumbbell seated one leg calf raise - palm up,lower legs,dumbbell,calves,Intermediate,Moderate,15
dumbbell seated palms up wrist curl,lower arms,dumbbell,forearms,Intermediate,Low,15
dumbbell seated preacher curl,upper arms,dumbbell,biceps,Intermediate,Low,15
dumbbell seated revers grip concentration curl,upper arms,dumbbell,biceps,Intermediate,Low,15
dumbbell seated reverse grip one arm overhead tricep extension,upper arms,dumbbell,triceps,Intermediate,Low,15
dumbbell seated shoulder press,shoulders,dumbbell,delts,Intermediate,Moderate,15
dumbbell seated shoulder press (parallel grip),shoulders,dumbbell,delts,Intermediate,Moderate,15
dumbbell seated triceps extension,upper arms,dumbbell,triceps,Intermediate,Low,15
dumbbell shrug,back,dumbbell,traps,Intermediate,Low,15
dumbbell side bend,waist,dumbbell,abs,Intermediate,Low,15
dumbbell side lying one hand raise,shoulders,dumbbell,delts,Intermediate,Low,15
dumbbell side plank with rear fly,back,dumbbell,upper back,Intermediate,Low,15
dumbbell single arm overhead carry,shoulders,dumbbell,delts,Intermediate,Low,15
dumbbell single leg calf raise,lower legs,dumbbell,calves,Intermediate,Moderate,15
dumbbell single leg deadlift,upper legs,dumbbell,glutes,Intermediate,Moderate,15
dumbbell single leg deadlift with stepbox support,upper legs,dumbbell,glutes,Intermediate,Moderate,15
dumbbell single leg split squat,upper legs,dumbbell,quads,Intermediate,Moderate,15
dumbbell single leg squat,upper legs,dumbbell,glutes,Intermediate,Moderate,15
dumbbell squat,upper legs,dumbbell,glutes,Intermediate,Moderate,15
dumbbell standing alternate hammer curl and press,upper arms,dumbbell,biceps,Intermediate,Moderate,15
dumbbell standing alternate overhead press,shoulders,dumbbell,delts,Intermediate,Moderate,15
dumbbell standing alternate raise,shoulders,dumbbell,delts,Intermediate,Low,15
dumbbell standing alternating tricep kickback,upper arms,dumbbell,triceps,Intermediate,Low,15
dumbbell standing around world,shoulders,dumbbell,delts,Intermediate,Low,15
dumbbell standing bent over one arm triceps extension,upper arms,dumbbell,triceps,Intermediate,Low,15
dumbbell standing bent over two arm triceps extension,upper arms,dumbbell,triceps,Intermediate,Low,15
dumbbell standing biceps curl,upper arms,dumbbell,biceps,Intermediate,Low,15
dumbbell standing calf raise,lower legs,dumbbell,calves,Intermediate,Moderate,15
dumbbell standing concentration curl,upper arms,dumbbell,biceps,Intermediate,Low,15
dumbbell standing front raise above head,shoulders,dumbbell,delts,Intermediate,Low,15
dumbbell standing inner biceps curl v. 2,upper arms,dumbbell,biceps,Intermediate,Low,15
dumbbell standing kickback,upper arms,dumbbell,triceps,Intermediate,Low,15
dumbbell standing one arm concentration curl,upper arms,dumbbell,biceps,Intermediate,Low,15
dumbbell standing one arm curl (over incline bench),upper arms,dumbbell,biceps,Intermediate,Low,15
dumbbell standing one arm curl over incline bench,upper arms,dumbbell,biceps,Intermediate,Low,15
dumbbell standing one arm extension,upper arms,dumbbell,triceps,Intermediate,Low,15
dumbbell standing one arm palm in press,shoulders,dumbbell,delts,Intermediate,Moderate,15
dumbbell standing one arm reverse curl,upper arms,dumbbell,biceps,Intermediate,Low,15
dumbbell standing overhead press,shoulders,dumbbell,delts,Intermediate,Moderate,15
dumbbell standing palms in press,shoulders,dumbbell,delts,Intermediate,Moderate,15
dumbbell standing preacher curl,upper arms,dumbbell,biceps,Intermediate,Low,15
dumbbell standing reverse curl,upper arms,dumbbell,biceps,Intermediate,Low,15
dumbbell standing triceps extension,upper arms,dumbbell,triceps,Intermediate,Low,15
dumbbell standing zottman preacher curl,upper arms,dumbbell,biceps,Intermediate,Low,15
dumbbell step up single leg balance with bicep curl,upper arms,dumbbell,biceps,Intermediate,Low,15
dumbbell step-up,upper legs,dumbbell,glutes,Intermediate,Moderate,15
dumbbell step-up lunge,upper legs,dumbbell,quads,Intermediate,Moderate,15
dumbbell step-up split squat,upper legs,dumbbell,quads,Intermediate,Moderate,15
dumbbell stiff leg deadlift,upper legs,dumbbell,glutes,Intermediate,Moderate,15
dumbbell straight arm pullover,chest,dumbbell,pectorals,Intermediate,Low,15
dumbbell straight leg deadlift,upper legs,dumbbell,glutes,Intermediate,Moderate,15
dumbbell sumo pull through,upper legs,dumbbell,glutes,Intermediate,Moderate,15
dumbbell supported squat,upper legs,dumbbell,quads,Intermediate,Moderate,15
dumbbell tate press,upper arms,dumbbell,triceps,Intermediate,Moderate,15
dumbbell tricep kickback with stork stance,upper arms,dumbbell,triceps,Intermediate,Low,15
dumbbell twisting bench press,upper arms,dumbbell,triceps,Intermediate,Moderate,15
dumbbell upright row,shoulders,dumbbell,delts,Intermediate,High,15
dumbbell upright row (back pov),shoulders,dumbbell,delts,Intermediate,High,15
dumbbell upright shoulder external rotation,shoulders,dumbbell,delts,Intermediate,Low,15
dumbbell waiter biceps curl,upper arms,dumbbell,biceps,Intermediate,Low,15
dumbbell w-press,shoulders,dumbbell,delts,Intermediate,Moderate,15
dumbbell zottman curl,upper arms,dumbbell,biceps,Intermediate,Low,15
dumbbell zottman preacher curl,upper arms,dumbbell,biceps,Intermediate,Low,15
dumbbells seated triceps extension,upper arms,dumbbell,triceps,Intermediate,Low,15
dynamic chest stretch (male),chest,body weight,pectorals,Beginner,Low,15
elbow dips,upper arms,body weight,triceps,Beginner,Low,15
elbow lift - reverse push-up,back,body weight,upper back,Beginner,Low,15
elbow-to-knee,waist,body weight,abs,Beginner,Low,15
elevator,back,body weight,upper back,Beginner,Low,15
exercise ball alternating arm ups,back,stability ball,lats,Advanced,Low,15
exercise ball back extension with arms extended,back,stability ball,spine,Advanced,Low,15
exercise ball back extension with hands behind head,back,stability ball,spine,Advanced,Low,15
exercise ball back extension with knees off ground,back,stability ball,spine,Advanced,Low,15
exercise ball back extension with rotation,back,stability ball,spine,Advanced,Low,15
exercise ball dip,upper arms,stability ball,triceps,Advanced,Low,15
exercise ball hip flexor stretch,upper legs,stability ball,glutes,Advanced,Moderate,15
exercise ball hug,back,stability ball,spine,Advanced,Low,15
exercise ball lat stretch,back,stability ball,lats,Advanced,Low,15
exercise ball lower back stretch (pyramid),back,stability ball,lats,Advanced,Low,15
exercise ball lying side lat stretch,back,stability ball,lats,Advanced,Low,15
exercise ball on the wall calf raise,lower legs,dumbbell,calves,Intermediate,Moderate,15
exercise ball on the wall calf raise (tennis ball between ankles),lower legs,dumbbell,calves,Intermediate,Moderate,15
exercise ball on the wall calf raise (tennis ball between knees),lower legs,dumbbell,calves,Intermediate,Moderate,15
exercise ball one leg prone lower body rotation,upper legs,stability ball,glutes,Advanced,Moderate,15
exercise ball one legged diagonal kick hamstring curl,upper legs,stability ball,glutes,Advanced,Moderate,15
exercise ball pike push up,chest,stability ball,pectorals,Advanced,Low,15
exercise ball prone leg raise,back,stability ball,spine,Advanced,Low,15
exercise ball seated hamstring stretch,upper legs,stability ball,hamstrings,Advanced,Moderate,15
exercise ball seated triceps stretch,upper arms,stability ball,triceps,Advanced,Low,15
exercise ball supine triceps extension,upper arms,dumbbell,triceps,Intermediate,Low,15
ez bar french press on exercise ball,upper arms,ez barbell,triceps,Intermediate,Moderate,15
ez bar lying bent arms pullover,back,ez barbell,lats,Intermediate,Low,15
ez bar lying close grip triceps extension behind head,upper arms,ez barbell,triceps,Intermediate,Low,15
ez bar reverse grip bent over row,back,ez barbell,upper back,Intermediate,High,15
ez bar seated close grip concentration curl,upper arms,ez barbell,biceps,Intermediate,Low,15
ez bar standing french press,upper arms,ez barbell,triceps,Intermediate,Moderate,15
ez barbell anti gravity press,shoulders,ez barbell,delts,Intermediate,Moderate,15
ez barbell close grip preacher curl,upper arms,ez barbell,biceps,Intermediate,Low,15
ez barbell close-grip curl,upper arms,ez barbell,biceps,Intermediate,Low,15
ez barbell curl,upper arms,ez barbell,biceps,Intermediate,Low,15
ez barbell decline close grip face press,upper arms,ez barbell,triceps,Intermediate,Moderate,15
ez barbell decline triceps extension,upper arms,ez barbell,triceps,Intermediate,Low,15
